list_name,項目名,目的・注意事項,Oh my teeth,インビザライン,キレイライン矯正,ゼニュム,ウィスマイル
meta1,クリニック名,正式名称を使用,Oh my teeth,インビザライン,キレイライン矯正,ゼニュム,ウィスマイル
meta2,クリニックコード,英字3-5文字の略称,omt,invisalign,kireiline,zenyum,ws
meta3,遷移先URL（1位）,1位表示時の遷移先URL,https://www.oh-my-teeth.com/,https://invisa-doctor.jp/,https://kireilign.com/,https://zenyum.jp/,https://we-smile.jp/
meta4,遷移先URL（2位）,2位表示時の遷移先URL,https://www.oh-my-teeth.com/,https://invisa-doctor.jp/,https://kireilign.com/,https://zenyum.jp/,https://we-smile.jp/
meta5,遷移先URL（3位）,3位表示時の遷移先URL,https://www.oh-my-teeth.com/,https://invisa-doctor.jp/,https://kireilign.com/,https://zenyum.jp/,https://we-smile.jp/
meta6,遷移先URL（4位）,4位表示時の遷移先URL,https://www.oh-my-teeth.com/,https://invisa-doctor.jp/,https://kireilign.com/,https://zenyum.jp/,https://we-smile.jp/
meta7,遷移先URL（5位）,5位表示時の遷移先URL,https://www.oh-my-teeth.com/,https://invisa-doctor.jp/,https://kireilign.com/,https://zenyum.jp/,https://we-smile.jp/
comparison1,総合評価,比較表の総合評価スコア,4.9,4.5,4.3,3.8,4.1
meta8,クリニックロゴ画像パス,各クリニックのロゴ画像パス,../common_data/images/clinics/omt/omt-logo.webp,../common_data/images/clinics/invisalign/invisalign-logo.webp,../common_data/images/clinics/kireiline/kireiline-logo.webp,../common_data/images/clinics/zenyum/zenyum-logo.webp,../common_data/images/clinics/ws/ws-logo.webp
ranking1,ランキングプッシュメッセージ,ランキングカード内の短い訴求文,2025年のイチ押し！<br>通院不要！最短2ヶ月<br>国内製造数No.1,世界1500万人が<br>グローバルスタンダード矯正システム,12万人が選んだ！<br>満足度90%,シンガポール発<br>50万人が利用！,AWARD受賞10回<br>複数プランあり
comparison2,費用,比較表の金額欄,"<deco>33万円プラン</deco><br>(月額3,500円~)<br>※追加費用なし",35万円～120万円<br>（提携医院により異なる）,46.2万円<br>(15回プラン)<br>通院毎に再診料あり,55万円<br>(30枚プラン),51.7万円<br>(18回プラン)<br>提携院から別プランの案内あり
comparison3,特徴,比較表の特徴欄,コスパ抜群！<br>日本ブランド<br>国内製造数No.1,世界1500万人の実績<br>グローバルスタンダード<br>高精度な治療計画,日本全国の提携院を紹介,シンガポールの<br>ブランド<br>世界9カ国展開,提携院を紹介してくれるサービス
comparison4,適用範囲,比較表の対応範囲欄,上下最大24本<br>軽度~重度まで,軽度から重度まで<br>全症例対応可能,軽度～中等度<br>前歯部中心,上下全体<br>軽度～中等度,軽度～中等度<br>部分矯正中心
comparison5,目安期間,比較表の目安期間欄,<deco>平均3ヶ月</deco>,6ヶ月～3年<br>（提携医院により異なる）,約18ヶ月<br>(15回プラン),約6ヶ月<br>（部分矯正）,4〜6ヶ月<br>（18回プラン）
comparison6,通院頻度,比較表の対応範囲欄,矯正中は原則<br><deco>通院不要</deco>,月1回程度<br>定期チェック,月1回程度<br>経過観察<br>※再診料あり,オンライン診療中心,約2ヶ月に1回<br>再診料あり
comparison7,実績/症例数,比較表の実績/症例数欄,<deco>国内製造数No.1<c/deco><br>5万人が体験,世界1500万人<br>100ヶ国以上で提供,満足度90%,世界9カ国に展開中,満足度90％
comparison8,ワイヤー矯正の紹介,比較表のワイヤー矯正の紹介欄,症例に応じて<br>他院紹介,ワイヤー矯正との<br>併用治療可能,提携医院で<br>ワイヤー矯正対応,必要に応じて<br>他院紹介,提携医院で<br>ワイヤー矯正対応
comparison9,サポート,比較表のサポート欄,LINEによる<br>24時間サポート<br>専属医療チーム,提携医院により異なる。,提携医院により異なる。,24時間アプリサポート<br>オンライン相談,提携医院により異なる。
ohmyteeth,比較表の注意事項,Oh my teethの注意事項,"「矯正開始後の通院は原則不要※1」※1 初回診断のご来院と、矯正開始前・矯正終了後の処置のご来院をお願いしています。<br>「歯並びの適応について」※記載のない歯並びでもお気軽にご相談ください。※記載の歯並びであっても、Oh my teethのマウスピース矯正の適応外と診断される場合もございます。※症状が強い場合は適応にならない場合があります。<br>「治療期間について」※治療期間は歯並びの状態や年齢などによって個人差があります。<br>「痛みについて」※痛みの感じ方には個人差があります。<br>「実績について」※2021年6月〜2023年10月の契約者（一部モニター除く）<br>「平均3ヶ月、平均6ヶ月：※2020/1~2023/7の実績値(後戻り防止器具をつける保定期間を除く)<br>「通院不要」※矯正中の通院は原則不要<br>「国内マウスピース矯正ブランド製造数No.1」※2025年1月GMOリサーチ&AI社デスクリサーチ調べ（対象：2024.1~12,国内歯列矯正用マウスピースブランド）",,,,,
invisalign,比較表の注意事項,インビザラインの注意事項,※治療期間・費用は症例により大きく異なります。※認定医による治療が推奨されます。※保険適用外の自由診療です。※定期的なメンテナンスが必要です。※複雑な症例では追加治療が必要な場合があります。,,,,,
kireilign,比較表の注意事項,キレイライン矯正の注意事項,"「歯並びの適応について」※上記の歯並びであっても、キレイライン矯正が適応外となる場合もございます。注1、注3：症状が強い場合は適応にならない場合があります。注2：骨格性の開咬の場合は、治療適応外となります。注3：骨格的な問題がなくても、お口の中の状態によっては「中心のずれ」を治すことは難しい場合があります。「中心のずれ」にはさまざまな原因があり、ワイヤー矯正など他の矯正治療においても一般的にその修正は困難な場合があります。<br>「料金・デンタルローンについて」※デンタルローンを利用して10回コース（330,000円）を120回払いで支払う場合の分割支払金額です。※一部クリニックはローン非対応。※信販会社や手数料はクリニックにより異なります。※デンタルローンは18歳以上（高校生を除く）が対象となり、詳しい支払い方法や規約は各提携クリニックにより異なります。予約フォームの備考欄にご記載いただくか、初回検診にお越しの際にクリニックへご相談ください。",,,,,
zenyum,比較表の注意事項,ゼニュムの注意事項,"「料金について」※料金はすべて税込み。※追加治療となった際の追加マウスピース料金は無料となります。※別途治療計画作成において必須である精密検査費用をクリニックにお支払いいただく必要がございます。（税込22,000円から33,000円）<br>「申込者数について」*当社調べ：Zenyumグループ全体の2018年 - 2025年5月までの累計診断申込者数",,,,,
wesmile,比較表の注意事項,ウィ・スマイル矯正の注意事項,"「料金について」治療費月額1,925円（税込）〜の分割可。平均治療期間3ヶ月〜11ヶ月※個人差あり<br>「各種料金について」初診料0円（一部医院は有料）。調整料0円（※1）。保定料0円（※1）。（※1：治療費に含まれる）<br>「初回検診について」※初回検診料はクリニックによって異なります。※予約状況によってご案内が終了している場合もございます<br>「実績について」満足度98％※1。治療開始50,000名以上※2。加盟100医院以上※3。※1 2024年5月時点、一部提携医院にて。※2 2025年4月時点。※3 2025年5月時点",,,,,
header1,詳細タイトル,案件詳細セクションのh3タイトル,平均3ヶ月!コスパ抜群の自宅矯正,世界基準の高精度矯正治療,満足度90%を誇る実績！,シンガポール発の革新的矯正！,全国125の提携医院を紹介可能！
header2,詳細サブタイトル,案件詳細セクションのpタグ,国内ブランド製造数No.1 安心の一律料金,1500万人が選んだ信頼の治療,手軽に始められる部分矯正,一律料金で安心の矯正治療,AWARD受賞歴10回の実績あり！
header3,詳細バナー画像パス,各クリニックの詳細バナー画像,../common_data/images/clinics/omt/omt_detail_bnr.webp,../common_data/images/clinics/invisalign/invisalign_detail_bnr.webp,../common_data/images/clinics/kireiline/kireiline_detail_bnr.webp,../common_data/images/clinics/zenyum/zenyum_detail_bnr.webp,../common_data/images/clinics/ws/ws_detail_bnr.webp
