store_id,clinic_name,store_name,Zipcode,adress,access,image_path
zenyum_001,ゼニュム,赤坂さくら歯科クリニック（赤坂）,〒107-0052,東京都港区赤坂5丁目4-6 赤坂三辻ビル5F,東京メトロ千代田線「赤坂駅」7番出口より徒歩1分
zenyum_002,ゼニュム,おおじま駅前歯科・大島駅前矯正歯科（大島）,〒136-0072,東京都江東区大島6丁目26-7 太田ビル1F,都営新宿線「大島駅」A6出口より徒歩1分
zenyum_003,ゼニュム,サファイアデンタルクリニック（新宿）,〒160-0022,東京都新宿区新宿5-11-1 ホーメスト新宿ビル5F,東京メトロ丸ノ内線・副都心線・都営新宿線「新宿三丁目駅」C7出口より徒歩2分
zenyum_004,ゼニュム,Aクリニックデンタル(銀座),〒104-0061,東京都中央区銀座5丁目13-19 デュープレックス銀座タワー5/13 12階,東京メトロ日比谷線・都営浅草線「東銀座駅」4番出口より徒歩1分
zenyum_005,ゼニュム,緑のテラス歯科クリニック（流山おおたかの森）,〒270-0139,千葉県流山市おおたかの森南1-5-1 おおたかの森SC本館3F,つくばエクスプレス・東武アーバンパークライン「流山おおたかの森駅」南口直結
zenyum_006,ゼニュム,新福島ホワイトノア歯科・矯正歯科（大阪）,〒553-0003,大阪府大阪市福島区福島4-5-47,JR東西線「新福島駅」2番出口より徒歩3分／阪神本線「福島駅」より徒歩5分
zenyum_007,ゼニュム,宝塚あさひ歯科クリニック（宝塚市）,〒665-0835,兵庫県宝塚市旭町3丁目22-9 ランドマーク宝塚2F,阪急今津線「小林駅」徒歩13分／阪急バス「旭町3丁目」下車すぐ
zenyum_008,ゼニュム,デュランタデンタルクリニック栄歯科・矯正歯科,〒460-0003,愛知県名古屋市中区錦3丁目15-33 アルティメイト錦大津通7F,地下鉄東山線・名城線「栄駅」1番出口より徒歩2分
zenyum_009,ゼニュム,仙台駅前歯科・矯正歯科(仙台),〒980-0021,宮城県仙台市青葉区中央1丁目8-40 井門仙台駅前ビル5F,JR「仙台駅」西口より徒歩2分
zenyum_010,ゼニュム,スコーネデンタルオフィス（伊勢崎市）,〒372-0006,群馬県伊勢崎市西久保町1丁目383-1,JR両毛線「国定駅」より車で約7分／伊勢崎市民病院近く
zenyum_011,ゼニュム,TOCHIGI DENTAL CLINIC（栃木市）,〒328-0042,栃木県栃木市神田町40-1,東武日光線「新栃木駅」より徒歩15分／栃木市役所近く
zenyum_012,ゼニュム,天神オーラルケアクリニック（福岡）,〒810-0041,福岡県福岡市中央区大名2丁目1-4 ステージ1西通り5F A号室,福岡市地下鉄空港線「天神駅」2番出口より徒歩3分
zenyum_013,ゼニュム,横田矯正歯科クリニック（福岡）,〒810-0041,福岡県福岡市中央区大名1丁目14-45 Qiz TENJIN 6F,福岡市地下鉄空港線「天神駅」より徒歩5分
zenyum_014,ゼニュム,わかまつ歯科医院（札幌）,〒062-0034,北海道札幌市豊平区西岡4条10丁目3-20,北海道中央バス「西岡3条9丁目」停留所より徒歩2分
kireiline_001,キレイライン矯正,アルディバラン渋谷デンタルクリニック,〒150-0002,東京都渋谷区渋谷3-18-8 大野ビル5F,JR「渋谷駅」新南口より徒歩2分
kireiline_002,キレイライン矯正,新宿駅前矯正歯科クリニック,〒160-0022,東京都新宿区新宿3-36-6 大安ビル8F,JR「新宿駅」中央東口より徒歩1分
kireiline_003,キレイライン矯正,池袋DDデンタルクリニック,〒171-0022,東京都豊島区南池袋1-21-5 第7野萩ビル3F,JR「池袋駅」東口より徒歩2分
kireiline_004,キレイライン矯正,新橋DDデンタルクリニック,〒105-0004,東京都港区新橋2-19-2 リプロ新橋4F,JR「新橋駅」銀座口より徒歩1分
kireiline_005,キレイライン矯正,コレクトデンタルクリニック 八王子,〒192-0083,東京都八王子市旭町12-18 ひのき八王子ビル3F,JR「八王子駅」北口より徒歩2分
kireiline_006,キレイライン矯正,コレクトデンタルクリニック 吉祥寺,〒180-0004,東京都武蔵野市吉祥寺本町1-13-6 古谷ビル3F,JR「吉祥寺駅」北口より徒歩2分
kireiline_007,キレイライン矯正,空港口24時間歯科・小児歯科医院 江戸川,〒134-0084,東京都江戸川区東葛西6-1-17 第6カネ長ビル1F,東京メトロ東西線「葛西駅」中央口より徒歩2分
kireiline_008,キレイライン矯正,哲学堂デンタルクリニック,〒165-0024,東京都中野区松が丘2-2-15,西武新宿線「新井薬師前駅」より徒歩10分
kireiline_009,キレイライン矯正,さくら歯科クリニック,〒166-0001,東京都杉並区阿佐谷北1-3-8 グリーンパークビル2F,JR「阿佐ヶ谷駅」北口より徒歩2分
kireiline_010,キレイライン矯正,デンタルサロン麹町,〒102-0083,東京都千代田区麹町4-5-20 KSビル2F,東京メトロ有楽町線「麹町駅」2番出口より徒歩1分
kireiline_011,キレイライン矯正,伊藤歯科医院,〒166-0004,東京都杉並区阿佐谷南1-9-5,JR「阿佐ヶ谷駅」南口より徒歩3分
kireiline_012,キレイライン矯正,うぐいす谷駅前歯科,〒110-0003,東京都台東区根岸1-8-18 高松ビル1F,JR「鶯谷駅」南口より徒歩1分
kireiline_013,キレイライン矯正,赤坂さくら歯科クリニック,〒107-0052,東京都港区赤坂5丁目4-6 赤坂三辻ビル5F,東京メトロ千代田線「赤坂駅」7番出口より徒歩1分
kireiline_014,キレイライン矯正,吉祥寺まさむねデンタルクリニック,〒180-0004,東京都武蔵野市吉祥寺本町2-2-7 プラザオギノ2F,JR「吉祥寺駅」北口より徒歩3分
kireiline_015,キレイライン矯正,おおじま駅前歯科・大島駅前矯正歯科,〒136-0072,東京都江東区大島6丁目26-7 太田ビル1F,都営新宿線「大島駅」A6出口より徒歩1分
kireiline_016,キレイライン矯正,デンタルサロン ナチュール銀座,〒104-0061,東京都中央区銀座1-8-21 清光堂ビル2F,東京メトロ有楽町線「銀座一丁目駅」9番出口より徒歩1分
kireiline_017,キレイライン矯正,下北沢デンタルケアオフィス,〒155-0031,東京都世田谷区北沢2-26-25 アーロム下北沢2F,小田急線・京王井の頭線「下北沢駅」東口より徒歩1分
